local code,text,table_name,parent_varname,local code system,code,display,code system,comment
FAMMEMB,Family Member,subject,subject,FamilyRelationship,FAMMEMB,family member,http://terminology.hl7.org/CodeSystem/v3-RoleCode,
Male,Male,participant,Sex,Sex,male,Male,http://hl7.org/fhir/administrative-gender,
Female,Female,participant,Sex,Sex,female,Female,http://hl7.org/fhir/administrative-gender,
White,White,participant,ancestry,Race,2028-9,White,urn:oid:2.16.840.1.113883.6.238,https://docs.google.com/spreadsheets/d/1cHSburUDg6CR4az5FZR82FI992h7cyv-22pLVTFLZvE/edit#gid=1746314807
American Indian or Alaska Native,American Indian or Alaska Native,participant,ancestry,Race,1002-5,American Indian or Alaska Native,urn:oid:2.16.840.1.113883.6.238,https://docs.google.com/spreadsheets/d/1cHSburUDg6CR4az5FZR82FI992h7cyv-22pLVTFLZvE/edit#gid=1746314807
Asian,Asian,participant,ancestry,Race,2028-9,Asian,urn:oid:2.16.840.1.113883.6.238,https://docs.google.com/spreadsheets/d/1cHSburUDg6CR4az5FZR82FI992h7cyv-22pLVTFLZvE/edit#gid=1746314807
Black or African-American,Black or African-American,participant,ancestry,Race,2054-5,Black or African American,urn:oid:2.16.840.1.113883.6.238,https://docs.google.com/spreadsheets/d/1cHSburUDg6CR4az5FZR82FI992h7cyv-22pLVTFLZvE/edit#gid=1746314807
More than one race,More than one race,participant,ancestry,Race,UNK,Unknown,http://terminology.hl7.org/CodeSystem/v3-NullFlavor,
NA,NA,participant,ancestry,Race,UNK,Unknown,http://terminology.hl7.org/CodeSystem/v3-NullFlavor,https://docs.google.com/spreadsheets/d/1cHSburUDg6CR4az5FZR82FI992h7cyv-22pLVTFLZvE/edit#gid=1746314807
Native Hawaiian or Other Pacific Islander,Native Hawaiian or Other Pacific Islander,participant,ancestry,Race,2076-8,Native Hawaiian or Other Pacific Islander,urn:oid:2.16.840.1.113883.6.238,https://docs.google.com/spreadsheets/d/1cHSburUDg6CR4az5FZR82FI992h7cyv-22pLVTFLZvE/edit#gid=1746314807
Other,Other,participant,ancestry,Race,UNK,Unknown,http://terminology.hl7.org/CodeSystem/v3-NullFlavor,https://docs.google.com/spreadsheets/d/1cHSburUDg6CR4az5FZR82FI992h7cyv-22pLVTFLZvE/edit#gid=1746314807
Other,Other,participant,ancestry,Race,other,Other,http://hl7.org/fhir/administrative-gender,
Prefer not to answer,Prefer not to answer,participant,ancestry,Race,ASKU,asked but unknown,http://terminology.hl7.org/CodeSystem/v3-NullFlavor,https://docs.google.com/spreadsheets/d/1cHSburUDg6CR4az5FZR82FI992h7cyv-22pLVTFLZvE/edit#gid=1746314807
Hispanic or Latino,Hispanic or Latino,participant,ancestry,Ethnicity,2135-2,Hispanic or Latino,urn:oid:2.16.840.1.113883.6.238,
NA,NA,participant,Ethnicity,Ethnicity,UNK,Unknown,http://terminology.hl7.org/CodeSystem/v3-NullFlavor,https://docs.google.com/spreadsheets/d/1cHSburUDg6CR4az5FZR82FI992h7cyv-22pLVTFLZvE/edit#gid=1746314807
Not Hispanic or Latino,Not Hispanic or Latino,participant,Ethnicity,Ethnicity,2186-5,Not Hispanic or Latino,urn:oid:2.16.840.1.113883.6.238,
Prefer not to answer,Prefer not to answer,participant,Ethnicity,Ethnicity,ASKU,asked but unknown,http://terminology.hl7.org/CodeSystem/v3-NullFlavor,https://docs.google.com/spreadsheets/d/1cHSburUDg6CR4az5FZR82FI992h7cyv-22pLVTFLZvE/edit#gid=1746314807
Affected,Affected,conditions,Affected_Status,AffectedStatus,confirmed,Confirmed,http://terminology.hl7.org/CodeSystem/condition-ver-status
True,True,conditions,ConditionPresent,ConditionPresent,confirmed,Confirmed,http://terminology.hl7.org/CodeSystem/condition-ver-status
False,False,conditions,ConditionPresent,ConditionPresent,refuted,Refuted,http://terminology.hl7.org/CodeSystem/condition-ver-status
Maybe,Maybe,conditions,ConditionPresent,ConditionPresent,provisional,Provisional,http://terminology.hl7.org/CodeSystem/condition-ver-status
Affected,Affected,sample,tissue_affected_status,tissue_affected_status,POS,Positive,http://terminology.hl7.org/CodeSystem/v3-ObservationInterpretation,
Unaffected,Unaffected,sample,tissue_affected_status,tissue_affected_status,NEG,Negative,http://terminology.hl7.org/CodeSystem/v3-ObservationInterpretation,
Mother,Mother,subject,maternal_id,FamilyRelationship,MTH,mother,http://terminology.hl7.org/CodeSystem/v3-RoleCode,
Father,Father,subject,paternal_id,FamilyRelationship,FTH,father,http://terminology.hl7.org/CodeSystem/v3-RoleCode
Child,Child,subject,subject,FamilyRelationship,NCHILD,natural child,http://terminology.hl7.org/CodeSystem/v3-RoleCode
Male,Male,subject,subject,FamilyRelationship,SON,natural son,http://terminology.hl7.org/CodeSystem/v3-RoleCode
Female,Female,subject,subject,FamilyRelationship,DAU,natural daughter,http://terminology.hl7.org/CodeSystem/v3-RoleCode
Unknown,Unknown,subject,subject,FamilyRelationship,NCHILD,natural child,http://terminology.hl7.org/CodeSystem/v3-RoleCode
Intersex,Intersex,subject,subject,FamilyRelationship,NCHILD,natural child,http://terminology.hl7.org/CodeSystem/v3-RoleCode
Twin,Twin,subject,subject,FamilyRelationship,TWIN,twin,http://terminology.hl7.org/CodeSystem/v3-RoleCode
TwinBrother,Twin Brother,subject,subject,FamilyRelationship,TWINBRO,twin brother,http://terminology.hl7.org/CodeSystem/v3-RoleCode
TwinSister,Twin Sister,subject,subject,FamilyRelationship,TWINSIS,twin sister,http://terminology.hl7.org/CodeSystem/v3-RoleCode
bam,BAM File,sequencing,seq_filename,DataType,Aligned-Reads,Aligned Reads,https://nih-ncpi.github.io/ncpi-fhir-ig/data_types,
gvcf,gvcf,sequencing,seq_filename,DataType,gVCF,gVCF,https://nih-ncpi.github.io/ncpi-fhir-ig/data_types,
Controlled,Controlled,sequencing,access_type,access_type,controlled,Controlled,https://includedcc.org/fhir/code-systems/data_access_types,https://docs.google.com/spreadsheets/d/1_qbnn1VVlQS0tGprkiJbOhHZFixvs2qAVj5Rrdi2EaU/edit#gid=857513026
Registered,Registered,sequencing,access_type,access_type,registered,Registered,https://includedcc.org/fhir/code-systems/data_access_types,https://docs.google.com/spreadsheets/d/1_qbnn1VVlQS0tGprkiJbOhHZFixvs2qAVj5Rrdi2EaU/edit#gid=857513026
WHOLE_GENOME,Whole Genome Sequencing,sequencing,exome_capture_platform,DataCategory,Genomics,Genomics,https://nih-ncpi.github.io/ncpi-fhir-ig/data_categories,
WGS,Whole Genome Sequencing,sequencing,sequencing_assay,ExperimentStrategy,WGS,Whole Genome,https://nih-ncpi.github.io/ncpi-fhir-ig/experimental_strategies,
DNA,DNA,sequencing,analyte_type,SampleType,OBI:0001051,DNA extract,http://purl.obolibrary.org/obo/obi.owl,
OMIM:615369,"EPILEPTIC ENCEPHALOPATHY, CHILDHOOD-ONSET; EEOC",subject,disease_id,disease_id,OMIM:615369,"EPILEPTIC ENCEPHALOPATHY, CHILDHOOD-ONSET; EEOC",https://omim.org/,
OMIM:256850,"GIANT AXONAL NEUROPATHY 1, AUTOSOMAL RECESSIVE; GAN1",subject,disease_id,disease_id,OMIM:256850,"GIANT AXONAL NEUROPATHY 1, AUTOSOMAL RECESSIVE; GAN1",https://omim.org/,
OMIM:300894,NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 5; NBIA5,subject,disease_id,disease_id,OMIM:300894,NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 5; NBIA5,https://omim.org/,
OMIM:606157,PANTOTHENATE KINASE 2; PANK2,subject,disease_id,disease_id,OMIM:606157,PANTOTHENATE KINASE 2; PANK2,https://omim.org/,
OMIM:610217,NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 2B; NBIA2B,subject,disease_id,disease_id,OMIM:610217,NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 2B; NBIA2B,https://omim.org/,
OMIM:612280,"FUCOSIDASE, ALPHA-L, 1; FUCA1",subject,disease_id,disease_id,OMIM:612280,"FUCOSIDASE, ALPHA-L, 1; FUCA1",https://omim.org/,
OMIM:134200,"FACIAL PALSY, FAMILIAL RECURRENT PERIPHERAL",subject,disease_id,disease_id,OMIM:134200,"FACIAL PALSY, FAMILIAL RECURRENT PERIPHERAL",https://omim.org/,
OMIM:142340,"DIAPHRAGMATIC HERNIA, CONGENITAL",subject,disease_id,disease_id,OMIM:142340,"DIAPHRAGMATIC HERNIA, CONGENITAL",https://omim.org/,
OMIM:271510,"SPONDYLOEPIMETAPHYSEAL DYSPLASIA, SPONASTRIME TYPE; SEMDSP",subject,disease_id,disease_id,OMIM:271510,"SPONDYLOEPIMETAPHYSEAL DYSPLASIA, SPONASTRIME TYPE; SEMDSP",https://omim.org/,
OMIM:600776,FRYNS MICROPHTHALMIA SYNDROME,subject,disease_id,disease_id,OMIM:600776,FRYNS MICROPHTHALMIA SYNDROME,https://omim.org/,
OMIM:108120,"ARTHROGRYPOSIS, DISTAL, TYPE 1A; DA1A",subject,disease_id,disease_id,OMIM:108120,"ARTHROGRYPOSIS, DISTAL, TYPE 1A; DA1A",https://omim.org/,
OMIM:114300,"ARTHROGRYPOSIS, DISTAL, TYPE 3; DA3",subject,disease_id,disease_id,OMIM:114300,"ARTHROGRYPOSIS, DISTAL, TYPE 3; DA3",https://omim.org/,
OMIM:115200,"CARDIOMYOPATHY, DILATED, 1A; CMD1A",subject,disease_id,disease_id,OMIM:115200,"CARDIOMYOPATHY, DILATED, 1A; CMD1A",https://omim.org/,
OMIM:119530,OROFACIAL CLEFT 1; OFC1,subject,disease_id,disease_id,OMIM:119530,OROFACIAL CLEFT 1; OFC1,https://omim.org/,
OMIM:143465,ATTENTION DEFICIT-HYPERACTIVITY DISORDER; ADHD,subject,disease_id,disease_id,OMIM:143465,ATTENTION DEFICIT-HYPERACTIVITY DISORDER; ADHD,https://omim.org/,
OMIM:147920,KABUKI SYNDROME 1; KABUK1,subject,disease_id,disease_id,OMIM:147920,KABUKI SYNDROME 1; KABUK1,https://omim.org/,
OMIM:154400,"ACROFACIAL DYSOSTOSIS 1, NAGER TYPE; AFD1",subject,disease_id,disease_id,OMIM:154400,"ACROFACIAL DYSOSTOSIS 1, NAGER TYPE; AFD1",https://omim.org/,
OMIM:178110,"CONTRACTURES, PTERYGIA, AND SPONDYLOCARPOTARSAL FUSION SYNDROME 1A; CPSFS1A",subject,disease_id,disease_id,OMIM:178110,"CONTRACTURES, PTERYGIA, AND SPONDYLOCARPOTARSAL FUSION SYNDROME 1A; CPSFS1A",https://omim.org/,
OMIM:178500,"PULMONARY FIBROSIS, IDIOPATHIC; IPF",subject,disease_id,disease_id,OMIM:178500,"PULMONARY FIBROSIS, IDIOPATHIC; IPF",https://omim.org/,
OMIM:191480,UNCOMBABLE HAIR SYNDROME 1; UHS1,subject,disease_id,disease_id,OMIM:191480,UNCOMBABLE HAIR SYNDROME 1; UHS1,https://omim.org/,
OMIM:209850,AUTISM,subject,disease_id,disease_id,OMIM:209850,AUTISM,https://omim.org/,
OMIM:212065,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ia; CDG1A",subject,disease_id,disease_id,OMIM:212065,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ia; CDG1A",https://omim.org/,
OMIM:217980,"CORPUS CALLOSUM, AGENESIS OF, WITH FACIAL ANOMALIES AND ROBIN SEQUENCE",subject,disease_id,disease_id,OMIM:217980,"CORPUS CALLOSUM, AGENESIS OF, WITH FACIAL ANOMALIES AND ROBIN SEQUENCE",https://omim.org/,
OMIM:231300,"GLAUCOMA 3, PRIMARY CONGENITAL, A; GLC3A",subject,disease_id,disease_id,OMIM:231300,"GLAUCOMA 3, PRIMARY CONGENITAL, A; GLC3A",https://omim.org/,
OMIM:236000,"LYMPHOMA, HODGKIN, CLASSIC; CHL",subject,disease_id,disease_id,OMIM:236000,"LYMPHOMA, HODGKIN, CLASSIC; CHL",https://omim.org/,
OMIM:248700,MARDEN-WALKER SYNDROME; MWKS,subject,disease_id,disease_id,OMIM:248700,MARDEN-WALKER SYNDROME; MWKS,https://omim.org/,
OMIM:252350,MOYAMOYA DISEASE 1; MYMY1,subject,disease_id,disease_id,OMIM:252350,MOYAMOYA DISEASE 1; MYMY1,https://omim.org/,
OMIM:254300,"MYASTHENIC SYNDROME, CONGENITAL, 10; CMS10",subject,disease_id,disease_id,OMIM:254300,"MYASTHENIC SYNDROME, CONGENITAL, 10; CMS10",https://omim.org/,
OMIM:255800,"SCHWARTZ-JAMPEL SYNDROME, TYPE 1; SJS1",subject,disease_id,disease_id,OMIM:255800,"SCHWARTZ-JAMPEL SYNDROME, TYPE 1; SJS1",https://omim.org/,
OMIM:256700,"NEUROBLASTOMA, SUSCEPTIBILITY TO, 1; NBLST1",subject,disease_id,disease_id,OMIM:256700,"NEUROBLASTOMA, SUSCEPTIBILITY TO, 1; NBLST1",https://omim.org/,
OMIM:265000,"MULTIPLE PTERYGIUM SYNDROME, ESCOBAR VARIANT; EVMPS",subject,disease_id,disease_id,OMIM:265000,"MULTIPLE PTERYGIUM SYNDROME, ESCOBAR VARIANT; EVMPS",https://omim.org/,
OMIM:266265,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIc; CDG2C",subject,disease_id,disease_id,OMIM:266265,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIc; CDG2C",https://omim.org/,
OMIM:273300,TESTICULAR GERM CELL TUMOR; TGCT,subject,disease_id,disease_id,OMIM:273300,TESTICULAR GERM CELL TUMOR; TGCT,https://omim.org/,
OMIM:300881,MOVED TO 615777,subject,disease_id,disease_id,OMIM:300881,MOVED TO 615777,https://omim.org/,
OMIM:308350,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 1; DEE1,subject,disease_id,disease_id,OMIM:308350,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 1; DEE1,https://omim.org/,
OMIM:313850,THORACOABDOMINAL SYNDROME; THAS,subject,disease_id,disease_id,OMIM:313850,THORACOABDOMINAL SYNDROME; THAS,https://omim.org/,
OMIM:600618,ETS VARIANT GENE 6; ETV6,subject,disease_id,disease_id,OMIM:600618,ETS VARIANT GENE 6; ETV6,https://omim.org/,
OMIM:601088,AYME-GRIPP SYNDROME; AYGRP,subject,disease_id,disease_id,OMIM:601088,AYME-GRIPP SYNDROME; AYGRP,https://omim.org/,
